# xB 0.30001
# Q2 2.499
# t -0.145
# BeamEnergy 10.6
# phi_deg sigma
0 0.128541
5 0.128669
10 0.129046
15 0.129655
20 0.13047
25 0.131453
30 0.13256
35 0.133739
40 0.134932
45 0.136079
50 0.137119
55 0.137989
60 0.138632
65 0.138996
70 0.139033
75 0.138705
80 0.137986
85 0.136857
90 0.135313
95 0.133362
100 0.131023
105 0.128327
110 0.125318
115 0.12205
120 0.118583
125 0.11499
130 0.111344
135 0.107726
140 0.104215
145 0.100893
150 0.0978344
155 0.0951119
160 0.0927897
165 0.0909229
170 0.0895565
175 0.0887232
180 0.0884431
185 0.0887232
190 0.0895565
195 0.090923
200 0.0927897
205 0.0951119
210 0.0978344
215 0.100893
220 0.104215
225 0.107726
230 0.111344
235 0.11499
240 0.118583
245 0.12205
250 0.125318
255 0.128327
260 0.131023
265 0.133362
270 0.135313
275 0.136857
280 0.137986
285 0.138705
290 0.139033
295 0.138996
300 0.138632
305 0.137989
310 0.137119
315 0.136079
320 0.134932
325 0.133739
330 0.13256
335 0.131453
340 0.13047
345 0.129655
350 0.129046
355 0.128669
360 0.128541
