# xB 0.305
# Q2 2.45
# t -0.12
# BeamEnergy 6.535
# phi_deg sigma
0 0.125234
5 0.125239
10 0.125253
15 0.125273
20 0.125295
25 0.125313
30 0.125319
35 0.125305
40 0.125262
45 0.125181
50 0.125051
55 0.124864
60 0.124612
65 0.124286
70 0.123881
75 0.123393
80 0.12282
85 0.122162
90 0.121421
95 0.120602
100 0.119712
105 0.118761
110 0.11776
115 0.116722
120 0.115663
125 0.114599
130 0.113547
135 0.112525
140 0.111552
145 0.110644
150 0.109819
155 0.109092
160 0.108477
165 0.107985
170 0.107627
175 0.107409
180 0.107336
185 0.107409
190 0.107627
195 0.107985
200 0.108477
205 0.109092
210 0.109819
215 0.110644
220 0.111552
225 0.112525
230 0.113547
235 0.114599
240 0.115663
245 0.116722
250 0.11776
255 0.118761
260 0.119712
265 0.120602
270 0.121421
275 0.122162
280 0.12282
285 0.123393
290 0.123881
295 0.124286
300 0.124612
305 0.124864
310 0.125051
315 0.125181
320 0.125262
325 0.125305
330 0.125319
335 0.125313
340 0.125295
345 0.125273
350 0.125253
355 0.125239
360 0.125234
