# xB 0.33
# Q2 2.3
# t -0.4
# BeamEnergy 6.535
# phi_deg sigma
0 0.132808
5 0.133394
10 0.135131
15 0.137961
20 0.141787
25 0.146478
30 0.151875
35 0.15779
40 0.164018
45 0.170342
50 0.176536
55 0.182378
60 0.187652
65 0.192157
70 0.195714
75 0.198172
80 0.199409
85 0.199342
90 0.197926
95 0.195155
100 0.191066
105 0.185737
110 0.179282
115 0.171852
120 0.163629
125 0.154821
130 0.145654
135 0.136369
140 0.127213
145 0.118433
150 0.110266
155 0.102934
160 0.0966387
165 0.0915523
170 0.0878154
175 0.085531
180 0.0847625
185 0.085531
190 0.0878154
195 0.0915524
200 0.0966387
205 0.102934
210 0.110266
215 0.118433
220 0.127213
225 0.136369
230 0.145654
235 0.154821
240 0.163629
245 0.171852
250 0.179282
255 0.185737
260 0.191066
265 0.195155
270 0.197926
275 0.199342
280 0.199409
285 0.198172
290 0.195714
295 0.192157
300 0.187652
305 0.182378
310 0.176536
315 0.170342
320 0.164018
325 0.15779
330 0.151875
335 0.146478
340 0.141787
345 0.137961
350 0.135131
355 0.133394
360 0.132808
