# xB 0.30001
# Q2 2.499
# t -0.145
# BeamEnergy 6.535
# phi_deg sigma
0 0.127956
5 0.12803
10 0.128248
15 0.128599
20 0.129067
25 0.129628
30 0.130255
35 0.130916
40 0.131573
45 0.132191
50 0.132731
55 0.133155
60 0.133426
65 0.133514
70 0.133388
75 0.133027
80 0.132414
85 0.131539
90 0.130399
95 0.129002
100 0.12736
105 0.125495
110 0.123435
115 0.121215
120 0.118876
125 0.116463
130 0.114025
135 0.111614
140 0.109281
145 0.107077
150 0.105053
155 0.103254
160 0.101721
165 0.100489
170 0.0995888
175 0.0990398
180 0.0988553
185 0.0990398
190 0.0995888
195 0.100489
200 0.101721
205 0.103254
210 0.105053
215 0.107077
220 0.109281
225 0.111614
230 0.114025
235 0.116463
240 0.118876
245 0.121215
250 0.123435
255 0.125495
260 0.12736
265 0.129002
270 0.130399
275 0.131539
280 0.132414
285 0.133027
290 0.133388
295 0.133514
300 0.133426
305 0.133155
310 0.132731
315 0.132191
320 0.131573
325 0.130916
330 0.130255
335 0.129628
340 0.129067
345 0.128599
350 0.128248
355 0.12803
360 0.127956
